交易日期,收盘价,S1上轨(20高),S1下轨(20低),S2上轨(55高),S2下轨(55低),ATR(20),做多开仓,做空开仓,多单加仓,空单加仓,平多仓,平空仓,持仓单位数,净持仓股数,累计收益率,策略净值,回撤幅度
2025-09-17,377.1,371.52,272.05,,,13.442364461242919,False,False,False,False,False,False,2,1569,0.10233852000000021,1102338.52,0.0
2025-09-18,366.89,381.88,272.72,,,13.730246238180772,False,False,False,False,False,False,2,1569,0.08631903000000007,1086319.0299999998,-0.014532278160796035
2025-09-19,368.49,381.88,272.72,381.88,257.72,13.743233926271731,False,False,False,False,False,False,2,1569,0.08882943000000032,1088829.4300000002,-0.01225493780259067
2025-09-22,370.05,381.88,272.72,381.88,257.72,13.553072229958147,False,False,False,False,False,False,2,1569,0.0912770700000003,1091277.07,-0.010034530953340861
2025-09-23,368.15,381.88,272.72,381.88,257.72,13.723418618460238,False,False,False,False,False,False,2,1569,0.08829597000000033,1088295.97,-0.012738872628709414
2025-09-24,379.93,381.88,272.72,381.88,257.72,13.734247687537225,False,False,False,False,False,False,2,1569,0.10677879000000035,1106778.79,0.0
2025-09-25,392.85,381.88,272.72,381.88,257.72,14.353535303160362,True,False,False,False,False,False,3,2354,0.12705027000000024,1127050.27,0.0
2025-09-26,380.4,402.59,277.95,402.59,257.72,14.635358538002343,False,False,False,False,False,False,3,2354,0.0977429700000001,1097742.97,-0.02600354285882922
2025-09-29,397.37,402.59,299.03,402.59,257.72,14.878090611102227,False,False,False,False,False,False,3,2354,0.1376903500000004,1137690.35,0.0
2025-09-30,402.0,402.59,299.03,402.59,257.72,14.778186080547115,False,False,True,False,False,False,4,2997,0.14858937000000028,1148589.37,0.0
2025-10-09,409.89,408.88,299.82,408.88,257.72,15.27027677651976,False,False,True,False,False,False,5,2998,0.17223569999999988,1172235.6999999997,0.0
2025-10-10,381.95,424.36,299.82,424.36,257.72,16.050762937693772,False,False,False,False,True,False,2,1569,0.08475538897270685,1084755.3889727066,-0.07462689545054217
2025-10-13,374.5,424.36,299.82,424.36,257.72,16.335224790809082,False,False,False,False,False,False,2,1569,0.07306633897270665,1073066.3389727066,-0.08459848222272463
2025-10-14,358.0,424.36,309.04,424.36,257.72,17.019963551268628,False,False,False,False,True,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-15,369.3,424.36,309.04,424.36,257.72,16.916465373705194,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-16,368.5,424.36,309.04,424.36,257.72,16.54064210501993,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-17,358.14,424.36,309.04,424.36,257.72,16.61410999976893,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-20,366.5,424.36,322.2,424.36,257.72,16.320904499780486,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-21,375.9,424.36,344.02,424.36,257.72,16.417359274791462,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-22,372.86,424.36,348.5,424.36,257.72,16.130491311051887,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-23,376.45,424.36,354.0,424.36,257.72,15.813966745499293,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-24,385.77,424.36,354.76,424.36,257.72,15.59076840822433,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-27,386.18,424.36,354.76,424.36,257.72,15.632729987813113,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-28,386.48,424.36,354.76,424.36,257.72,15.390093488422458,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-29,400.0,424.36,354.76,424.36,257.72,15.387588814001337,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-30,398.29,424.36,354.76,424.36,257.72,15.23070937330127,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-10-31,388.77,424.36,354.76,424.36,257.72,15.399173904636207,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-03,386.86,424.36,354.76,424.36,257.72,15.436215209404399,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-04,378.95,424.36,354.76,424.36,257.72,15.307404448934179,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-05,388.7,424.36,354.76,424.36,257.72,15.592034226487469,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-06,394.68,424.36,354.76,424.36,264.51,15.351932515163096,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-07,395.37,409.08,354.76,424.36,272.05,15.01583588940494,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
