股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),RSI_14,DIF,DEA,MACD,BOLL_MID,BOLL_STD,BOLL_UPPER,BOLL_LOWER,K,D,J
300750.SZ,2025-08-25,290.0,293.88,286.78,290.28,287.18,3.1,1.0795,312297.2,9046692.965,66.62909059872507,3.6381476916891984,1.7923464100327546,3.6916025633128875,273.892,9.892527004073113,293.67705400814623,254.10694599185376,83.77599411687571,77.24109239337014,96.84579756388683
300750.SZ,2025-08-26,287.02,290.99,285.58,289.5,290.28,-0.78,-0.2687,230244.62,6648848.315,65.53549083587663,4.176945499970941,2.269266228020392,3.815358543901098,273.776,9.682613501040217,293.1412270020804,254.41077299791957,82.49595210173757,78.99271229615928,89.50243171289415
300750.SZ,2025-08-27,289.0,289.54,278.19,278.3,289.5,-11.2,-3.8687,382584.29,10859010.3,52.269225239802765,3.6580327229839895,2.5470195270131115,2.222026391941756,273.8365,9.708156784781275,293.25281356956253,254.42018643043744,64.54074314798996,74.1753892467695,45.271450950430875
300750.SZ,2025-08-28,276.06,278.99,272.72,277.41,278.3,-0.89,-0.3198,304664.01,8407974.991,51.379172172385005,3.1387929948833175,2.665374220587153,0.9468375485923293,274.476,9.487844522556765,293.45168904511354,255.50031095488646,51.21161774074276,66.52079874476058,20.59325573270712
300750.SZ,2025-08-29,278.31,316.66,277.95,306.18,277.41,28.77,10.3709,780138.92,23482893.637,69.47451851699066,4.9912542564011915,3.1305502277499606,3.7214080573024617,276.6315,11.453539684996471,299.53857936999293,253.72442063000707,59.64358166949911,64.22839305300676,50.473958902483844
300750.SZ,2025-09-01,306.5,306.9,299.3,304.0,306.18,-2.18,-0.712,429964.21,13012795.663,67.42676267005331,6.211829270338001,3.746806036267569,4.930046468140864,278.50750000000005,12.707399781643984,303.922299563288,253.09270043671208,63.635958727883946,64.03091494463249,62.846046294386866
300750.SZ,2025-09-02,304.03,311.1,299.03,302.87,304.0,-1.13,-0.3717,371168.89,11289093.083,66.33531218158274,7.007187708375795,4.398882370689215,5.216610675373161,280.36600000000004,13.433072070943295,307.23214414188664,253.49985585811345,65.29607080114124,64.45263356346874,66.98294527648625
300750.SZ,2025-09-03,303.5,311.65,303.03,309.0,302.87,6.13,2.024,508974.73,15640548.986,69.24382369400463,8.039480641785758,5.127002024908524,5.824957233754468,282.56600000000003,14.35543740740397,311.27687481480797,253.8551251851921,71.05309286909642,66.65278666534462,79.85370527660001
300750.SZ,2025-09-04,313.47,323.33,300.63,304.03,309.0,-4.97,-1.6084,657547.54,20442631.453,64.38676451241014,8.360171907086624,5.773636001344144,5.173071811484959,284.615,14.347847995614579,313.3106959912292,255.91930400877084,67.99047658703772,67.09868330590899,69.77406314929516
300750.SZ,2025-09-05,299.9,325.11,299.82,325.11,304.03,21.08,6.9335,708197.79,22440211.716,73.02843046164077,10.19774857469173,6.658458516013662,7.078580117356136,287.69649999999996,16.083005177090307,319.8625103541806,255.53048964581933,78.66031772469181,70.95256144550325,94.07583028306891
300750.SZ,2025-09-08,334.0,337.65,323.5,325.37,325.11,0.26,0.08,588345.78,19349632.049,73.11508317470977,11.541972475810269,7.635161307972983,7.813622335674571,290.782,17.11529190058127,325.0125838011625,256.55141619883744,79.46932008690631,73.7914809926376,90.82499827544373
300750.SZ,2025-09-09,322.8,334.58,317.16,320.0,325.37,-5.37,-1.6504,434023.97,14085497.658,68.23875777630337,12.03523083166317,8.515175212711021,7.0401112379042985,293.61949999999996,17.014519333730593,327.64853866746114,259.5904613325388,77.25183996347684,74.94493398291735,81.86565192459582
300750.SZ,2025-09-10,317.99,322.0,313.0,316.04,320.0,-3.96,-1.2375,367526.83,11649703.595,64.80627517728978,11.968635744862297,9.205867319141277,5.525536851442041,295.74150000000003,17.032823196775954,329.80714639355193,261.67585360644813,72.7686749951934,74.2195143203427,69.86699634489477
300750.SZ,2025-09-11,315.55,322.98,309.04,322.55,316.04,6.51,2.0599,380344.6,12060756.827,67.68409768326632,12.299381637028432,9.824570182718707,4.94962290861945,297.8745,17.604808097729777,333.08411619545956,262.66488380454047,68.81281250326896,72.41728038131811,61.60387674717066
300750.SZ,2025-09-12,325.9,329.9,322.2,325.0,322.55,2.45,0.7596,338713.16,11031032.653,68.72073095877384,12.613790736166834,10.382414293408333,4.462752885517002,300.091,18.10814963373927,336.3072992674785,263.8747007325215,68.2901919364103,71.0415842330155,62.7874073431999
300750.SZ,2025-09-15,346.01,371.52,344.02,354.7,325.0,29.7,9.1385,718410.23,25586615.241,77.95337395371543,15.08560651770074,11.323052738266815,7.525107558867848,303.67600000000004,21.35316158028315,346.38232316056633,260.96967683943376,71.04050917564498,71.04122588055866,71.03907576581764
300750.SZ,2025-09-16,356.11,359.0,348.5,353.42,354.7,-1.28,-0.3609,377444.65,13325722.242,76.8998769716112,16.74819031784608,12.40808025418267,8.680220127326823,307.457,23.149595449460445,353.75619089892086,261.1578091010791,72.27898194229425,71.45381123447052,73.92932335794171
300750.SZ,2025-09-17,356.8,381.88,354.0,377.1,353.42,23.68,6.7002,543771.0,20113064.234,81.80017063342973,19.74892474453719,13.876249152253575,11.745351184567234,312.352,26.905918464550645,366.16383692910125,258.5401630708987,79.57765259716197,74.16175835536767,90.40944108075058
300750.SZ,2025-09-18,374.59,380.0,360.8,366.89,377.1,-10.21,-2.7075,518896.9,19308545.614,74.4653303428766,21.060395594571105,15.313078440717081,11.494634307708047,316.7465,28.31258363993676,373.3716672798736,260.1213327201265,79.5253177299769,75.94961148023741,86.6767302294559
300750.SZ,2025-09-19,365.0,375.71,361.72,368.49,366.89,1.6,0.4361,339148.86,12515443.887,74.84597769919691,21.975532065742186,16.645569165722105,10.659925800040163,320.812,29.649790555752553,380.11158111150513,261.5124188884949,80.2226262442936,77.3739497349228,85.91997926303517
300750.SZ,2025-09-22,370.5,372.72,362.78,370.05,368.49,1.56,0.4233,285277.63,10474484.764,75.23363163823764,22.566530360070033,17.82976140459169,9.473537910956686,324.8005,30.67409887579581,386.1486977515916,263.4523022484084,81.40139205230044,78.71643050738201,86.7713151421373
300750.SZ,2025-09-23,368.0,376.96,360.0,368.15,370.05,-1.9,-0.5134,348493.15,12813882.35,73.74299693040012,22.6208278230327,18.787974688279892,7.665706269505613,328.733,30.950613649217843,390.6342272984357,266.8317727015643,81.31775029369909,79.58353710282104,84.78617667545521
300750.SZ,2025-09-24,371.0,380.0,366.06,379.93,368.15,11.78,3.1998,383145.48,14311189.086,76.81076172167646,23.345296458424684,19.699439042308853,7.291714832231662,333.8145,30.57525805287653,394.9650161057531,272.66398389424694,86.45602477131325,81.87436632565178,95.6193416626362
300750.SZ,2025-09-25,376.6,402.59,376.47,392.85,379.93,12.92,3.4006,466393.38,18251421.708,79.62281189321529,24.677512096313876,20.69505365310986,7.964916886408034,339.5865,30.26156556199875,400.1096311239975,279.0633688760025,85.42745854938045,83.058730400228,90.16491484768534
300750.SZ,2025-09-26,392.02,399.99,380.0,380.4,392.85,-12.45,-3.1691,362633.26,14106499.742,70.72285528914017,24.44688318473061,21.44541955943401,6.002927250593196,343.2975,30.49918184838805,404.2958636967761,282.2991363032239,76.61023273477522,80.90923117841041,68.01223584750485
300750.SZ,2025-09-29,386.34,399.89,386.01,397.37,380.4,16.97,4.4611,389647.45,15381134.07,74.84947630131049,25.341326251897726,22.224600897926756,6.233450707941941,347.966,31.302804380841877,410.57160876168376,285.36039123831625,80.8258380816729,80.8814334794979,80.71464728602291
300750.SZ,2025-09-30,396.0,408.88,396.0,402.0,397.37,4.63,1.1652,330313.1,13278445.667,75.84964490774043,26.122655421309048,23.004211802603216,6.236887237411665,352.9225,31.63287079089842,416.18824158179683,289.6567584182032,82.52546324921127,81.42944340273569,84.71750294216244
300750.SZ,2025-10-09,399.98,424.36,399.74,409.89,402.0,7.89,1.9627,412088.23,16989122.538,77.49227044305607,27.066515534992448,23.816672549081062,6.499685971822771,357.967,32.29738641862023,422.5617728372404,293.37222716275954,80.85600595317212,81.23829758621449,80.09142268708737
300750.SZ,2025-10-10,401.0,403.8,379.01,381.95,409.89,-27.94,-6.8165,533117.98,20684330.795,61.531710631183266,25.268724848733143,24.10708300901148,2.3232836794433283,361.863,30.071590212270568,422.0061804245411,301.71981957545887,65.27234869635546,75.91631462292814,43.98441684321011
300750.SZ,2025-10-13,362.86,384.6,362.86,374.5,381.95,-7.45,-1.9505,471509.98,17618650.277,58.09574647036263,22.977934711649766,23.881253349539136,-1.8066372757787406,364.33250000000004,28.89969256347113,422.1318851269423,306.5331148730578,51.024739611533434,67.61912295246324,17.8359729296738
300750.SZ,2025-10-14,381.0,385.8,355.77,358.0,374.5,-16.5,-4.4059,496399.39,18319370.881,51.2675701739626,19.605059992149677,23.026014678061244,-6.841909371823135,365.96400000000006,27.47002258922665,420.9040451784534,311.02395482154674,35.100227340769585,56.77949108189868,-8.258300141488604
300750.SZ,2025-10-15,358.5,369.71,354.76,369.3,358.0,11.3,3.1564,369933.55,13383852.917,55.154926178625466,17.640499343058195,21.948911611060637,-8.616824536004884,368.42900000000003,25.250696478148285,418.9303929562966,317.92760704370346,30.363753093080113,47.974245085625824,-4.857230892011302
300750.SZ,2025-10-16,367.5,373.9,364.5,368.5,369.3,-0.8,-0.2166,276294.67,10185159.269,54.82151244190232,15.836464653963048,20.726422219641123,-9.779915131356148,371.052,22.043200312114205,415.13840062422844,326.9655993757716,26.822961832168353,40.92381733447333,-1.3787491724415872
300750.SZ,2025-10-17,367.5,375.0,356.99,358.14,368.5,-10.36,-2.8114,319057.61,11588825.855,50.55912265879346,13.416135884398898,19.26436495259268,-11.696458136387562,372.8315,19.17110525188727,411.17371050377454,334.48928949622547,19.50074850113905,33.78279439002856,-9.063343276639976
300750.SZ,2025-10-20,365.0,368.89,359.53,366.5,358.14,8.36,2.3343,284324.2,10372513.059,53.68825883802153,12.033871054861152,17.818266173046375,-11.568790236370447,374.9065,15.64275055736658,406.19200111473316,343.62099888526683,18.62310436474404,28.729564381600387,-1.5898156689686473
300750.SZ,2025-10-21,373.0,381.35,363.1,375.9,366.5,9.4,2.5648,446328.7,16784956.526,56.98485639029702,11.563619452746309,16.567336828986363,-10.007434752480108,375.9665,14.902189268694466,405.7708785373889,346.1621214626111,22.539923982626284,26.666350915275686,14.287070117327488
300750.SZ,2025-10-22,375.9,378.88,368.2,372.86,375.9,-3.04,-0.8087,219458.79,8178934.535,55.606285446263534,10.820902448778895,15.41804995294487,-9.194295008331949,376.9385,13.958283062491034,404.85506612498205,349.0219338750179,27.32949798950508,26.887399940018813,28.213694088477602
300750.SZ,2025-10-23,373.8,378.8,369.0,376.45,372.86,3.59,0.9628,239980.98,8982628.027,56.93134832250709,10.40206830095508,14.414853622546913,-8.025570643183666,376.906,13.958643954647746,404.8232879092955,348.9887120907045,41.51219109953258,31.762330326523397,61.01191264555095
300750.SZ,2025-10-24,379.97,387.8,378.0,385.77,376.45,9.32,2.4758,320415.78,12276721.104,60.24856584207723,10.698855583418435,13.671654014721218,-5.945596862605566,377.85,13.883838768415632,405.6176775368313,350.08232246316874,58.9601048008183,40.82825515128836,95.22380409987818
300750.SZ,2025-10-27,393.0,393.0,376.57,386.18,385.77,0.41,0.1063,404510.18,15542852.577,60.39308861279789,10.842163504625717,13.105755912702119,-4.527184816152804,378.73449999999997,13.819496325271878,406.3734926505437,351.0955073494562,66.69516052272127,49.450556941765996,101.18436768463181
300750.SZ,2025-10-28,386.16,393.8,383.02,386.48,386.18,0.3,0.0777,287082.95,11160796.766,60.50623328670895,10.854815995547312,12.655567929271157,-3.60150386744769,379.556,13.764305629913796,407.08461125982757,352.0273887401724,71.16814015831514,56.68975134728237,100.12491778038068
300750.SZ,2025-10-29,386.0,400.04,384.7,400.0,386.48,13.52,3.4982,344740.46,13644645.226,65.31510938826428,11.81954582751672,12.488363508920271,-1.3376353628071023,381.1485,14.210458074397273,409.5694161487946,352.72758385120545,80.7477883672546,64.70909702060644,112.82517106055093
300750.SZ,2025-10-30,405.98,409.08,396.83,398.29,400.0,-1.71,-0.4275,343060.88,13797530.229,64.24952209005829,12.304282353105066,12.45154727775723,-0.2945298493043289,382.0665,14.711787352502592,411.4900747050052,352.6429252949948,79.906530959939,69.77490833371729,100.16977621238243
300750.SZ,2025-10-31,398.0,406.8,388.2,388.77,398.29,-9.52,-2.3902,340483.5,13515773.431,58.52496296278305,11.784411740923758,12.318120170390536,-1.067416858933555,381.86249999999995,14.582104705136738,411.02670941027344,352.69829058972647,71.88056101983463,70.47679256242307,74.68809793465775
300750.SZ,2025-11-03,387.0,391.91,375.77,386.86,388.77,-1.91,-0.4913,263681.77,10106566.781,57.41957877380668,11.090445742879524,12.072585284888333,-1.964279084017619,382.1855,14.619502646518825,411.42450529303767,352.9464947069623,63.13563820109003,68.02974110864538,53.34743238597932
300750.SZ,2025-11-04,383.06,386.5,374.0,378.95,386.86,-7.91,-2.0447,239390.74,9091842.153,52.958540890157906,9.789356191786396,11.615939466267946,-3.6531665489630996,381.2645,14.186357225016634,409.63721445003324,352.89178554996676,50.365541901192415,62.141674706161055,26.813276291255136
300750.SZ,2025-11-05,372.85,393.0,372.0,388.7,378.95,9.75,2.5729,311425.32,11937586.811,57.35641169058927,9.436202199428124,11.179992012899982,-3.4875796269437167,380.5995,13.456133594602193,407.51176718920436,353.6872328107956,48.589613335063184,57.624320915795096,30.52019817359937
300750.SZ,2025-11-06,390.0,399.49,388.7,394.68,388.7,5.98,1.5385,234474.77,9261688.312,59.83653948344679,9.529016567814892,10.849796923882964,-2.641560712136144,379.839,12.07224520172278,403.98349040344556,355.69450959655444,52.781425071271904,56.010022300954034,46.32423061190764
300750.SZ,2025-11-07,393.5,397.51,388.88,395.37,394.68,0.69,0.1748,165548.92,6516185.371,60.124714754384016,9.548184331447658,10.589474405395903,-2.08258014789649,380.51,12.558900806745648,405.6278016134913,355.3921983865087,56.1962467033938,56.072097101767284,56.44454590664682
300750.SZ,2025-11-10,398.4,400.31,383.32,384.51,395.37,-10.86,-2.7468,238959.91,9267204.047,53.6054321908782,8.588065806300165,10.189192685576755,-3.20225375855318,381.0105,12.506132590389937,406.02276518077986,355.9982348192201,48.71011916148583,53.6181044550068,38.894148574443875
300750.SZ,2025-11-11,386.0,394.77,384.5,385.6,384.51,1.09,0.2835,193031.75,7500041.113,54.142878301118714,7.8249180637338895,9.716337761208182,-3.782839394948585,382.3905,11.297778298129078,404.98605659625815,359.7949434037418,44.699230825384674,50.64514657846609,32.80739931922183
300750.SZ,2025-11-12,390.78,392.99,383.98,386.38,385.6,0.78,0.2023,212998.25,8261238.197,54.54863667676252,7.2000596550140585,9.213082139969359,-4.0260449699106005,383.24449999999996,10.894529518113426,405.0335590362268,361.4554409637731,43.573433577076365,48.287908911336174,34.14448290855674
300750.SZ,2025-11-13,385.05,421.3,385.05,415.6,386.38,29.22,7.5625,562654.49,22945441.956,66.50524086565322,8.959386432740473,9.162342998523583,-0.4059131315662192,385.5995,12.510379469611475,410.62025893922294,360.578741060777,58.5283336761307,51.70138383293434,72.18223336252342
300750.SZ,2025-11-14,407.0,414.6,403.88,404.12,415.6,-11.48,-2.7623,241721.2,9879119.548,59.84437575152525,9.319891612637377,9.193852721346342,0.25207778258207014,387.8985,11.371615297470987,410.641730594942,365.15526940505805,60.736265723235206,54.71301112970129,72.78277491030305
300750.SZ,2025-11-17,388.0,392.4,382.5,390.78,404.12,-13.34,-3.301,476855.03,18542294.255,53.179151076203844,8.431969555717444,9.041476088220563,-1.2190130650062372,389.1125,10.202915927373143,409.5183318547463,368.70666814525373,53.1886125781676,54.204878279190055,51.15608117612268
300750.SZ,2025-11-18,389.0,398.63,381.0,385.0,390.78,-5.78,-1.4791,395658.14,15353867.657,50.55199172533356,7.179130684276288,8.669007007431707,-2.979752646310839,389.5675,9.776697254723508,409.120894509447,370.014105490553,38.76759448966342,49.05911701601451,18.184549436961248
300750.SZ,2025-11-19,385.5,398.44,384.96,391.1,385.0,6.1,1.5844,292666.86,11462348.543,53.18078149426832,6.602357999423191,8.255677205830004,-3.3066384128136264,390.47950000000003,8.952110880151018,408.3837217603021,372.575278239698,34.19907457292699,44.10576953498533,14.385684648810312
300750.SZ,2025-11-20,394.9,395.0,377.01,379.39,391.1,-11.71,-2.9941,336742.85,12895238.923,47.91470006905692,5.141098967137452,7.632761558091494,-4.983325181908084,390.6265,8.731019880740545,408.0885397614811,373.1644602385189,24.590607553773403,37.60071554124802,-1.4296084211758284
300750.SZ,2025-11-21,375.0,383.0,370.0,370.0,379.39,-9.39,-2.475,316313.35,11850710.342,44.140191237024666,3.188590050478979,6.743927256568991,-7.110674412180025,389.838,9.834995839240944,409.5079916784819,370.16800832151813,16.393738369182266,30.531723150559433,-11.882231193572068
300750.SZ,2025-11-24,373.8,374.9,367.18,370.55,370.0,0.55,0.1486,228458.19,8464724.008,44.41638903367072,1.6663840325787191,5.7284186117709375,-8.124069158384437,389.0565,10.721956947752851,410.50041389550574,367.6125861044943,13.004793305495742,24.689413202204868,-10.364446487922507
300750.SZ,2025-11-25,375.0,379.66,370.59,372.36,370.55,1.81,0.4885,206332.46,7733117.132,45.37363519743146,0.5991698130548002,4.70256885202771,-8.20679807794582,388.3505,11.347183501690834,411.0448670033817,365.65613299661834,11.860303198982875,20.41304320113087,-5.245176805313115
300750.SZ,2025-11-26,375.5,375.5,370.07,372.82,372.36,0.46,0.1235,189106.6,7048903.988,45.62990704101086,-0.2070996730457182,3.7206351470130246,-7.8554696401174855,386.9915,11.505058052416157,410.0016161048323,363.98138389516765,11.871440709908157,17.565842370723296,0.4826373882778796
300750.SZ,2025-11-27,373.0,378.88,370.0,371.2,372.82,-1.62,-0.4345,222002.59,8289124.681,44.832223308235974,-0.9656629493576361,2.7833755277388925,-7.498076954193057,385.637,11.697914389010712,409.03282877802144,362.24117122197856,12.175025126160268,15.768903289202285,4.987268800076237
300750.SZ,2025-11-28,370.5,375.48,366.16,373.2,371.2,2.0,0.5388,203402.63,7542337.298,46.08532920528056,-1.389430041062269,1.9488144139786603,-6.676488910081859,384.8585,11.992815513771601,408.8441310275432,360.8728689724568,15.343867484784361,15.627224687729644,14.777153078893797
300750.SZ,2025-12-01,374.76,382.97,374.03,382.97,373.2,9.77,2.6179,267510.13,10120862.871,51.84020758110113,-0.9262341152917202,1.3738047081245843,-4.6000776468326094,384.664,11.990190464225892,408.64438092845177,360.6836190715482,27.58777452310698,19.61407463285542,43.53517430361009
