股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
000858.SZ,2025-08-13,123.01,123.47,122.52,123.19,123.19,0.0,0.0,155822.85,1916294.686
000858.SZ,2025-08-14,123.18,124.85,122.77,122.84,123.19,-0.35,-0.2841,199063.36,2461442.362
000858.SZ,2025-08-15,122.54,123.3,121.9,123.1,122.84,0.26,0.2117,193943.17,2376497.642
000858.SZ,2025-08-18,123.1,124.66,122.81,123.75,123.1,0.65,0.528,255301.42,3163846.038
000858.SZ,2025-08-19,123.77,125.75,123.77,124.41,123.75,0.66,0.5333,327241.62,4087820.978
000858.SZ,2025-08-20,124.42,126.5,123.35,125.78,124.41,1.37,1.1012,404310.44,5083056.591
000858.SZ,2025-08-21,125.8,126.13,124.86,125.45,125.78,-0.33,-0.2624,231894.77,2908492.491
000858.SZ,2025-08-22,125.45,125.82,124.95,125.79,125.45,0.34,0.271,204849.97,2567683.361
000858.SZ,2025-08-25,126.18,130.09,126.18,129.93,125.79,4.14,3.2912,479800.03,6165955.081
000858.SZ,2025-08-26,129.93,131.85,128.65,129.74,129.93,-0.19,-0.1462,349794.45,4552425.053
000858.SZ,2025-08-27,129.5,129.5,126.6,126.62,129.74,-3.12,-2.4048,346847.06,4441325.744
000858.SZ,2025-08-28,126.61,127.2,124.0,125.47,126.62,-1.15,-0.9082,345834.88,4340085.829
000858.SZ,2025-08-29,126.18,129.8,126.12,129.53,125.47,4.06,3.2358,435250.9,5610236.643
000858.SZ,2025-09-01,130.0,130.1,127.52,128.87,129.53,-0.66,-0.5095,316941.95,4074402.941
000858.SZ,2025-09-02,128.41,131.12,128.11,128.56,128.87,-0.31,-0.2406,349161.69,4522779.365
000858.SZ,2025-09-03,129.0,131.5,126.39,126.62,128.56,-1.94,-1.509,302863.19,3883434.402
000858.SZ,2025-09-04,126.3,126.5,124.73,125.51,126.62,-1.11,-0.8766,261873.12,3286629.625
000858.SZ,2025-09-05,125.4,127.02,124.8,126.81,125.51,1.3,1.0358,201733.55,2537085.185
000858.SZ,2025-09-08,126.7,129.15,126.26,129.09,126.81,2.28,1.798,305363.52,3923785.754
000858.SZ,2025-09-09,129.08,129.38,127.58,128.8,129.09,-0.29,-0.2246,184406.08,2368186.108
000858.SZ,2025-09-10,128.8,129.48,127.66,128.06,128.8,-0.74,-0.5745,199644.91,2565580.225
000858.SZ,2025-09-11,127.42,128.54,126.8,128.52,128.06,0.46,0.3592,229973.26,2932816.233
000858.SZ,2025-09-12,128.5,129.67,127.12,127.19,128.52,-1.33,-1.0349,262703.9,3359522.974
000858.SZ,2025-09-15,126.6,127.1,126.05,126.65,127.19,-0.54,-0.4246,166569.48,2109473.46
000858.SZ,2025-09-16,126.65,126.85,125.4,125.8,126.65,-0.85,-0.6711,191086.52,2405374.663
000858.SZ,2025-09-17,125.81,126.33,124.82,125.96,125.8,0.16,0.1272,181336.4,2276167.36
000858.SZ,2025-09-18,125.95,125.96,123.53,123.94,125.96,-2.02,-1.6037,275477.52,3434002.463
000858.SZ,2025-09-19,123.93,124.6,122.8,124.08,123.94,0.14,0.113,196688.01,2431126.956
000858.SZ,2025-09-22,123.6,123.7,122.18,122.5,124.08,-1.58,-1.2734,196433.27,2412049.779
000858.SZ,2025-09-23,122.01,123.26,121.56,122.19,122.5,-0.31,-0.2531,172079.09,2101237.749
000858.SZ,2025-09-24,122.19,122.85,121.8,122.37,122.19,0.18,0.1473,130564.29,1597546.879
000858.SZ,2025-09-25,122.4,122.66,121.51,121.52,122.37,-0.85,-0.6946,194554.97,2371492.767
000858.SZ,2025-09-26,121.52,121.67,120.02,120.17,121.52,-1.35,-1.1109,261925.42,3154953.964
000858.SZ,2025-09-29,120.26,122.57,119.79,121.92,120.17,1.75,1.4563,256357.52,3105049.104
000858.SZ,2025-09-30,121.44,121.83,120.87,121.48,121.92,-0.44,-0.3609,154570.57,1875945.187
000858.SZ,2025-10-09,121.44,121.44,119.89,121.16,121.48,-0.32,-0.2634,203756.52,2455273.213
000858.SZ,2025-10-10,121.14,122.12,120.65,120.73,121.16,-0.43,-0.3549,175359.95,2126979.085
000858.SZ,2025-10-13,119.65,120.4,119.24,119.85,120.73,-0.88,-0.7289,195834.7,2345294.276
000858.SZ,2025-10-14,120.57,122.57,120.02,122.07,119.85,2.22,1.8523,291655.82,3543893.434
